"DAC_DONOR","Donor","PART","Part","TRANSACTYPE","Aid type","FLOWS","Fund flows","DATATYPE","Amount type","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","D","Constant Prices","2018","2018","USD","US Dollar","6","Millions","2018","2018",3149,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2000","2000",,,"0","Units",,,1704.29721,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2001","2001",,,"0","Units",,,1689.178412,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2002","2002",,,"0","Units",,,1820.566962,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2003","2003",,,"0","Units",,,1878.4719,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2004","2004",,,"0","Units",,,1984.608696,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2005","2005",,,"0","Units",,,2205.714048,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2006","2006",,,"0","Units",,,2819.423838,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2007","2007",,,"0","Units",,,3189.415104,,
"801","Australia","1","1 : Part I - Developing Countries","1010","I. Official Development Assistance (ODA) (I.A + I.B)","1140","Net Disbursements","N","National currency","2008","2008",,,"0","Units",,,3582.991503,,
